Sequence,Volt,
0,2.80E+00,,
1,2.80E+00,,
2,2.12E+01,,
3,2.12E+01,,
4,2.12E+01,,
5,2.12E+01,,
6,2.16E+01,,
7,2.16E+01,,
8,2.18E+01,,
9,2.18E+01,,
10,2.18E+01,,
11,2.18E+01,,
12,2.20E+01,,
13,2.20E+01,,
14,2.24E+01,,
15,2.24E+01,,
16,2.22E+01,,
17,2.22E+01,,
18,2.10E+01,,
19,2.10E+01,,
20,2.10E+01,,
21,2.10E+01,,
22,2.10E+01,,
23,2.10E+01,,
24,2.10E+01,,
25,2.10E+01,,
26,2.74E+01,,
27,2.74E+01,,
28,2.74E+01,,
29,2.74E+01,,
30,2.10E+01,,
31,2.10E+01,,
32,2.10E+01,,
33,2.10E+01,,
34,2.10E+01,,
35,2.10E+01,,
36,2.10E+01,,
37,2.10E+01,,
38,2.10E+01,,
39,2.10E+01,,
40,2.10E+01,,
41,2.10E+01,,
42,2.12E+01,,
43,2.12E+01,,
44,2.12E+01,,
45,2.12E+01,,
46,2.10E+01,,
47,2.10E+01,,
48,2.12E+01,,
49,2.12E+01,,
50,2.16E+01,,
51,2.16E+01,,
52,2.16E+01,,
53,2.16E+01,,
54,2.24E+01,,
55,2.24E+01,,
56,2.24E+01,,
57,2.24E+01,,
58,2.40E+01,,
59,2.40E+01,,
60,2.40E+01,,
61,2.40E+01,,
62,2.38E+01,,
63,2.38E+01,,
64,2.38E+01,,
65,2.38E+01,,
66,2.20E+01,,
67,2.20E+01,,
68,2.20E+01,,
69,2.20E+01,,
70,2.12E+01,,
71,2.12E+01,,
72,2.14E+01,,
73,2.14E+01,,
74,2.10E+01,,
75,2.10E+01,,
76,2.10E+01,,
77,2.10E+01,,
78,2.10E+01,,
79,2.10E+01,,
80,2.12E+01,,
81,2.12E+01,,
82,2.10E+01,,
83,2.10E+01,,
84,2.10E+01,,
85,2.10E+01,,
86,2.10E+01,,
87,2.10E+01,,
88,2.10E+01,,
89,2.10E+01,,
90,2.14E+01,,
91,2.14E+01,,
92,2.12E+01,,
93,2.12E+01,,
94,2.14E+01,,
95,2.14E+01,,
96,2.12E+01,,
97,2.12E+01,,
98,2.08E+01,,
99,2.08E+01,,
100,2.08E+01,,
101,2.08E+01,,
102,2.08E+01,,
103,2.08E+01,,
104,2.08E+01,,
105,2.08E+01,,
106,2.12E+01,,
107,2.12E+01,,
108,2.12E+01,,
109,2.12E+01,,
110,2.12E+01,,
111,2.12E+01,,
112,2.12E+01,,
113,2.12E+01,,
114,2.14E+01,,
115,2.14E+01,,
116,2.12E+01,,
117,2.12E+01,,
118,2.14E+01,,
119,2.14E+01,,
120,2.16E+01,,
121,2.16E+01,,
122,2.20E+01,,
123,2.20E+01,,
124,2.18E+01,,
125,2.18E+01,,
126,2.14E+01,,
127,2.14E+01,,
128,2.14E+01,,
129,2.14E+01,,
130,2.08E+01,,
131,2.08E+01,,
132,2.10E+01,,
133,2.10E+01,,
134,2.10E+01,,
135,2.10E+01,,
136,2.12E+01,,
137,2.12E+01,,
138,2.76E+01,,
139,2.76E+01,,
140,2.78E+01,,
141,2.78E+01,,
142,2.10E+01,,
143,2.10E+01,,
144,2.10E+01,,
145,2.10E+01,,
146,2.08E+01,,
147,2.08E+01,,
148,2.06E+01,,
149,2.06E+01,,
150,2.08E+01,,
151,2.08E+01,,
152,2.08E+01,,
153,2.08E+01,,
154,2.12E+01,,
155,2.12E+01,,
156,2.10E+01,,
157,2.10E+01,,
158,2.14E+01,,
159,2.14E+01,,
160,2.12E+01,,
161,2.12E+01,,
162,2.14E+01,,
163,2.14E+01,,
164,2.14E+01,,
165,2.14E+01,,
166,2.28E+01,,
167,2.28E+01,,
168,2.28E+01,,
169,2.28E+01,,
170,2.42E+01,,
171,2.42E+01,,
172,2.40E+01,,
173,2.40E+01,,
174,2.38E+01,,
175,2.38E+01,,
176,2.38E+01,,
177,2.38E+01,,
178,2.18E+01,,
179,2.18E+01,,
180,2.18E+01,,
181,2.18E+01,,
182,2.12E+01,,
183,2.12E+01,,
184,2.12E+01,,
185,2.12E+01,,
186,2.10E+01,,
187,2.10E+01,,
188,2.10E+01,,
189,2.10E+01,,
190,2.12E+01,,
191,2.12E+01,,
192,2.12E+01,,
193,2.12E+01,,
194,2.16E+01,,
195,2.16E+01,,
196,2.16E+01,,
197,2.16E+01,,
198,2.14E+01,,
199,2.14E+01,,
200,2.12E+01,,
201,2.12E+01,,
202,2.14E+01,,
203,2.14E+01,,
204,2.14E+01,,
205,2.14E+01,,
206,2.16E+01,,
207,2.16E+01,,
208,2.16E+01,,
209,2.16E+01,,
210,2.12E+01,,
211,2.12E+01,,
212,2.12E+01,,
213,2.12E+01,,
214,2.16E+01,,
215,2.16E+01,,
216,2.16E+01,,
217,2.16E+01,,
218,2.14E+01,,
219,2.14E+01,,
220,2.12E+01,,
221,2.12E+01,,
222,2.16E+01,,
223,2.16E+01,,
224,2.14E+01,,
225,2.14E+01,,
226,2.18E+01,,
227,2.18E+01,,
228,2.16E+01,,
229,2.16E+01,,
230,2.18E+01,,
231,2.18E+01,,
232,2.16E+01,,
233,2.16E+01,,
234,2.24E+01,,
235,2.24E+01,,
236,2.22E+01,,
237,2.22E+01,,
238,2.20E+01,,
239,2.20E+01,,
240,2.20E+01,,
241,2.20E+01,,
242,2.12E+01,,
243,2.12E+01,,
244,2.12E+01,,
245,2.12E+01,,
246,2.12E+01,,
247,2.12E+01,,
248,2.12E+01,,
249,2.12E+01,,
250,2.80E+01,,
251,2.80E+01,,
252,2.80E+01,,
253,2.80E+01,,
254,2.12E+01,,
255,2.12E+01,,
256,2.14E+01,,
257,2.14E+01,,
258,2.12E+01,,
259,2.12E+01,,
260,2.12E+01,,
261,2.12E+01,,
262,2.10E+01,,
263,2.10E+01,,
264,2.10E+01,,
265,2.10E+01,,
266,2.12E+01,,
267,2.12E+01,,
268,2.12E+01,,
269,2.12E+01,,
270,2.14E+01,,
271,2.14E+01,,
272,2.16E+01,,
273,2.16E+01,,
274,2.16E+01,,
275,2.16E+01,,
276,2.18E+01,,
277,2.18E+01,,
278,2.26E+01,,
279,2.26E+01,,
280,2.26E+01,,
281,2.26E+01,,
282,2.46E+01,,
283,2.46E+01,,
284,2.46E+01,,
285,2.46E+01,,
286,2.40E+01,,
287,2.40E+01,,
288,2.40E+01,,
289,2.40E+01,,
290,2.24E+01,,
291,2.24E+01,,
292,2.24E+01,,
293,2.24E+01,,
294,2.14E+01,,
295,2.14E+01,,
296,2.14E+01,,
297,2.14E+01,,
298,2.12E+01,,
299,2.12E+01,,
300,2.12E+01,,
301,2.12E+01,,
302,2.08E+01,,
303,2.08E+01,,
304,2.08E+01,,
305,2.08E+01,,
306,2.10E+01,,
307,2.10E+01,,
308,2.10E+01,,
309,2.10E+01,,
310,2.14E+01,,
311,2.14E+01,,
312,2.14E+01,,
313,2.14E+01,,
314,2.14E+01,,
315,2.14E+01,,
316,2.12E+01,,
317,2.12E+01,,
318,2.14E+01,,
319,2.14E+01,,
320,2.14E+01,,
321,2.14E+01,,
322,2.12E+01,,
323,2.12E+01,,
324,2.10E+01,,
325,2.10E+01,,
326,2.14E+01,,
327,2.14E+01,,
328,2.12E+01,,
329,2.12E+01,,
330,2.14E+01,,
331,2.14E+01,,
332,2.12E+01,,
333,2.12E+01,,
334,2.10E+01,,
335,2.10E+01,,
336,2.10E+01,,
337,2.10E+01,,
338,2.14E+01,,
339,2.14E+01,,
340,2.12E+01,,
341,2.12E+01,,
342,2.18E+01,,
343,2.18E+01,,
344,2.18E+01,,
345,2.18E+01,,
346,2.22E+01,,
347,2.22E+01,,
348,2.20E+01,,
349,2.20E+01,,
350,2.18E+01,,
351,2.18E+01,,
352,2.20E+01,,
353,2.20E+01,,
354,2.10E+01,,
355,2.10E+01,,
356,2.10E+01,,
357,2.10E+01,,
358,2.18E+01,,
359,2.18E+01,,
360,2.18E+01,,
361,2.18E+01,,
362,2.62E+01,,
363,2.62E+01,,
364,2.64E+01,,
365,2.64E+01,,
366,2.06E+01,,
367,2.06E+01,,
368,2.06E+01,,
369,2.06E+01,,
370,2.08E+01,,
371,2.08E+01,,
372,2.08E+01,,
373,2.08E+01,,
374,2.12E+01,,
375,2.12E+01,,
376,2.12E+01,,
377,2.12E+01,,
378,2.14E+01,,
379,2.14E+01,,
380,2.14E+01,,
381,2.14E+01,,
382,2.16E+01,,
383,2.16E+01,,
384,2.16E+01,,
385,2.16E+01,,
386,2.18E+01,,
387,2.18E+01,,
388,2.18E+01,,
389,2.18E+01,,
390,2.32E+01,,
391,2.32E+01,,
392,2.32E+01,,
393,2.32E+01,,
394,2.46E+01,,
395,2.46E+01,,
396,2.46E+01,,
397,2.46E+01,,
398,2.32E+01,,
399,2.32E+01,,
400,2.32E+01,,
401,2.32E+01,,
402,2.20E+01,,
403,2.20E+01,,
404,2.20E+01,,
405,2.20E+01,,
406,2.12E+01,,
407,2.12E+01,,
408,2.14E+01,,
409,2.14E+01,,
410,2.12E+01,,
411,2.12E+01,,
412,2.10E+01,,
413,2.10E+01,,
414,2.12E+01,,
415,2.12E+01,,
416,2.12E+01,,
417,2.12E+01,,
418,2.12E+01,,
419,2.12E+01,,
420,2.12E+01,,
421,2.12E+01,,
422,2.14E+01,,
423,2.14E+01,,
424,2.14E+01,,
425,2.14E+01,,
426,2.16E+01,,
427,2.16E+01,,
428,2.16E+01,,
429,2.16E+01,,
430,2.16E+01,,
431,2.16E+01,,
432,2.14E+01,,
433,2.14E+01,,
434,2.14E+01,,
435,2.14E+01,,
436,2.14E+01,,
437,2.14E+01,,
438,2.12E+01,,
439,2.12E+01,,
440,2.10E+01,,
441,2.10E+01,,
442,2.12E+01,,
443,2.12E+01,,
444,2.12E+01,,
445,2.12E+01,,
446,2.10E+01,,
447,2.10E+01,,
448,2.10E+01,,
449,2.10E+01,,
450,2.12E+01,,
451,2.12E+01,,
452,2.12E+01,,
453,2.12E+01,,
454,2.18E+01,,
455,2.18E+01,,
456,2.18E+01,,
457,2.18E+01,,
458,2.22E+01,,
459,2.22E+01,,
460,2.22E+01,,
461,2.22E+01,,
462,2.14E+01,,
463,2.14E+01,,
464,2.14E+01,,
465,2.14E+01,,
466,2.12E+01,,
467,2.12E+01,,
468,2.12E+01,,
469,2.12E+01,,
470,2.32E+01,,
471,2.32E+01,,
472,2.32E+01,,
473,2.32E+01,,
474,2.44E+01,,
475,2.44E+01,,
476,2.44E+01,,
477,2.44E+01,,
478,2.08E+01,,
479,2.08E+01,,
480,2.08E+01,,
481,2.08E+01,,
482,2.10E+01,,
483,2.10E+01,,
484,2.10E+01,,
485,2.10E+01,,
486,2.10E+01,,
487,2.10E+01,,
488,2.12E+01,,
489,2.12E+01,,
490,2.12E+01,,
491,2.12E+01,,
492,2.14E+01,,
493,2.14E+01,,
494,2.14E+01,,
495,2.14E+01,,
496,2.12E+01,,
497,2.12E+01,,
498,2.14E+01,,
499,2.14E+01,,
500,2.14E+01,,
501,2.14E+01,,
502,2.26E+01,,
503,2.26E+01,,
504,2.28E+01,,
505,2.28E+01,,
506,2.46E+01,,
507,2.46E+01,,
508,2.46E+01,,
509,2.46E+01,,
510,2.38E+01,,
511,2.38E+01,,
512,2.40E+01,,
513,2.40E+01,,
514,2.18E+01,,
515,2.18E+01,,
516,2.18E+01,,
517,2.18E+01,,
518,2.12E+01,,
519,2.12E+01,,
520,2.12E+01,,
521,2.12E+01,,
522,2.10E+01,,
523,2.10E+01,,
524,2.10E+01,,
525,2.10E+01,,
526,2.10E+01,,
527,2.10E+01,,
528,2.10E+01,,
529,2.10E+01,,
530,2.12E+01,,
531,2.12E+01,,
532,2.12E+01,,
533,2.12E+01,,
534,2.12E+01,,
535,2.12E+01,,
536,2.12E+01,,
537,2.12E+01,,
538,2.14E+01,,
539,2.14E+01,,
540,2.14E+01,,
541,2.14E+01,,
542,2.10E+01,,
543,2.10E+01,,
544,2.10E+01,,
545,2.10E+01,,
546,2.10E+01,,
547,2.10E+01,,
548,2.10E+01,,
549,2.10E+01,,
550,2.10E+01,,
551,2.10E+01,,
552,2.10E+01,,
553,2.10E+01,,
554,2.08E+01,,
555,2.08E+01,,
556,2.08E+01,,
557,2.08E+01,,
558,2.10E+01,,
559,2.10E+01,,
560,2.10E+01,,
561,2.10E+01,,
562,2.10E+01,,
563,2.10E+01,,
564,2.10E+01,,
565,2.10E+01,,
566,2.10E+01,,
567,2.10E+01,,
568,2.10E+01,,
569,2.10E+01,,
570,2.14E+01,,
571,2.14E+01,,
572,2.14E+01,,
573,2.14E+01,,
574,2.16E+01,,
575,2.16E+01,,
576,2.16E+01,,
577,2.16E+01,,
578,2.08E+01,,
579,2.08E+01,,
580,2.08E+01,,
581,2.08E+01,,
582,2.06E+01,,
583,2.06E+01,,
584,2.06E+01,,
585,2.06E+01,,
586,2.64E+01,,
587,2.64E+01,,
588,2.64E+01,,
589,2.64E+01,,
590,2.10E+01,,
591,2.10E+01,,
592,2.10E+01,,
593,2.10E+01,,
594,2.04E+01,,
595,2.04E+01,,
596,2.04E+01,,
597,2.04E+01,,
598,2.06E+01,,
599,2.06E+01,,
600,2.08E+01,,
601,2.08E+01,,
602,2.08E+01,,
603,2.08E+01,,
604,2.08E+01,,
605,2.08E+01,,
606,2.06E+01,,
607,2.06E+01,,
608,2.06E+01,,
609,2.06E+01,,
610,2.06E+01,,
611,2.06E+01,,
612,2.06E+01,,
613,2.06E+01,,
614,2.18E+01,,
615,2.18E+01,,
616,2.18E+01,,
617,2.18E+01,,
618,2.34E+01,,
619,2.34E+01,,
620,2.36E+01,,
621,2.36E+01,,
622,2.36E+01,,
623,2.36E+01,,
624,2.36E+01,,
625,2.36E+01,,
626,2.16E+01,,
627,2.16E+01,,
628,2.18E+01,,
629,2.18E+01,,
630,2.08E+01,,
631,2.08E+01,,
632,2.08E+01,,
633,2.08E+01,,
634,2.08E+01,,
635,2.08E+01,,
636,2.08E+01,,
637,2.08E+01,,
638,2.06E+01,,
639,2.06E+01,,
640,2.08E+01,,
641,2.08E+01,,
642,2.08E+01,,
643,2.08E+01,,
644,2.08E+01,,
645,2.08E+01,,
646,2.08E+01,,
647,2.08E+01,,
648,2.10E+01,,
649,2.10E+01,,
650,2.08E+01,,
651,2.08E+01,,
652,2.08E+01,,
653,2.08E+01,,
654,2.10E+01,,
655,2.10E+01,,
656,2.10E+01,,
657,2.10E+01,,
658,2.08E+01,,
659,2.08E+01,,
660,2.10E+01,,
661,2.10E+01,,
662,2.08E+01,,
663,2.08E+01,,
664,2.08E+01,,
665,2.08E+01,,
666,2.08E+01,,
667,2.08E+01,,
668,2.06E+01,,
669,2.06E+01,,
670,2.06E+01,,
671,2.06E+01,,
672,2.08E+01,,
673,2.08E+01,,
674,2.08E+01,,
675,2.08E+01,,
676,2.10E+01,,
677,2.10E+01,,
678,2.10E+01,,
679,2.10E+01,,
680,2.08E+01,,
681,2.08E+01,,
682,2.12E+01,,
683,2.12E+01,,
684,2.12E+01,,
685,2.12E+01,,
686,2.16E+01,,
687,2.16E+01,,
688,2.16E+01,,
689,2.16E+01,,
690,2.10E+01,,
691,2.10E+01,,
692,2.10E+01,,
693,2.10E+01,,
694,2.06E+01,,
695,2.06E+01,,
696,2.06E+01,,
697,2.06E+01,,
698,2.14E+01,,
699,2.14E+01,,
700,2.12E+01,,
701,2.12E+01,,
702,2.66E+01,,
703,2.66E+01,,
704,2.66E+01,,
705,2.66E+01,,
706,2.06E+01,,
707,2.06E+01,,
708,2.06E+01,,
709,2.06E+01,,
710,2.06E+01,,
711,2.06E+01,,
712,2.08E+01,,
713,2.08E+01,,
714,2.10E+01,,
715,2.10E+01,,
716,2.12E+01,,
717,2.12E+01,,
718,2.10E+01,,
719,2.10E+01,,
720,2.08E+01,,
721,2.08E+01,,
722,2.10E+01,,
723,2.10E+01,,
724,2.10E+01,,
725,2.10E+01,,
726,2.16E+01,,
727,2.16E+01,,
728,2.14E+01,,
729,2.14E+01,,
730,2.20E+01,,
731,2.20E+01,,
732,2.20E+01,,
733,2.20E+01,,
734,2.40E+01,,
735,2.40E+01,,
736,2.42E+01,,
737,2.42E+01,,
738,2.38E+01,,
739,2.38E+01,,
740,2.38E+01,,
741,2.38E+01,,
742,2.18E+01,,
743,2.18E+01,,
744,2.20E+01,,
745,2.20E+01,,
746,2.12E+01,,
747,2.12E+01,,
748,2.10E+01,,
749,2.10E+01,,
750,2.14E+01,,
751,2.14E+01,,
752,2.12E+01,,
753,2.12E+01,,
754,2.10E+01,,
755,2.10E+01,,
756,2.12E+01,,
757,2.12E+01,,
758,2.12E+01,,
759,2.12E+01,,
760,2.10E+01,,
761,2.10E+01,,
762,2.12E+01,,
763,2.12E+01,,
764,2.12E+01,,
765,2.12E+01,,
766,2.12E+01,,
767,2.12E+01,,
768,2.14E+01,,
769,2.14E+01,,
770,2.12E+01,,
771,2.12E+01,,
772,2.14E+01,,
773,2.14E+01,,
774,2.14E+01,,
775,2.14E+01,,
776,2.14E+01,,
777,2.14E+01,,
778,2.14E+01,,
779,2.14E+01,,
780,2.14E+01,,
781,2.14E+01,,
782,2.10E+01,,
783,2.10E+01,,
784,2.08E+01,,
785,2.08E+01,,
786,2.12E+01,,
787,2.12E+01,,
788,2.12E+01,,
789,2.12E+01,,
790,2.12E+01,,
791,2.12E+01,,
792,2.12E+01,,
793,2.12E+01,,
794,2.12E+01,,
795,2.12E+01,,
796,2.12E+01,,
797,2.12E+01,,
798,2.14E+01,,
799,2.14E+01,,
800,2.16E+01,,
801,2.16E+01,,
802,2.22E+01,,
803,2.22E+01,,
804,2.22E+01,,
805,2.22E+01,,
806,2.18E+01,,
807,2.18E+01,,
808,2.18E+01,,
809,2.18E+01,,
810,2.10E+01,,
811,2.10E+01,,
812,2.12E+01,,
813,2.12E+01,,
814,2.12E+01,,
815,2.12E+01,,
816,2.12E+01,,
817,2.12E+01,,
818,2.78E+01,,
819,2.78E+01,,
820,2.80E+01,,
821,2.80E+01,,
822,2.10E+01,,
823,2.10E+01,,
824,2.08E+01,,
825,2.08E+01,,
826,2.10E+01,,
827,2.10E+01,,
828,2.10E+01,,
829,2.10E+01,,
830,2.08E+01,,
831,2.08E+01,,
832,2.10E+01,,
833,2.10E+01,,
834,2.10E+01,,
835,2.10E+01,,
836,2.10E+01,,
837,2.10E+01,,
838,2.12E+01,,
839,2.12E+01,,
840,2.12E+01,,
841,2.12E+01,,
842,2.16E+01,,
843,2.16E+01,,
844,2.16E+01,,
845,2.16E+01,,
846,2.24E+01,,
847,2.24E+01,,
848,2.26E+01,,
849,2.26E+01,,
850,2.44E+01,,
851,2.44E+01,,
852,2.44E+01,,
853,2.44E+01,,
854,2.38E+01,,
855,2.38E+01,,
856,2.36E+01,,
857,2.36E+01,,
858,2.16E+01,,
859,2.16E+01,,
860,2.16E+01,,
861,2.16E+01,,
862,2.12E+01,,
863,2.12E+01,,
864,2.12E+01,,
865,2.12E+01,,
866,2.08E+01,,
867,2.08E+01,,
868,2.10E+01,,
869,2.10E+01,,
870,2.08E+01,,
871,2.08E+01,,
872,2.08E+01,,
873,2.08E+01,,
874,2.08E+01,,
875,2.08E+01,,
876,2.08E+01,,
877,2.08E+01,,
878,2.10E+01,,
879,2.10E+01,,
880,2.10E+01,,
881,2.10E+01,,
882,2.10E+01,,
883,2.10E+01,,
884,2.10E+01,,
885,2.10E+01,,
886,2.12E+01,,
887,2.12E+01,,
888,2.12E+01,,
889,2.12E+01,,
890,2.14E+01,,
891,2.14E+01,,
892,2.14E+01,,
893,2.14E+01,,
894,2.12E+01,,
895,2.12E+01,,
896,2.12E+01,,
897,2.12E+01,,
898,2.10E+01,,
899,2.10E+01,,
900,2.12E+01,,
901,2.12E+01,,
902,2.14E+01,,
903,2.14E+01,,
904,2.14E+01,,
905,2.14E+01,,
906,2.14E+01,,
907,2.14E+01,,
908,2.12E+01,,
909,2.12E+01,,
910,2.14E+01,,
911,2.14E+01,,
912,2.16E+01,,
913,2.16E+01,,
914,2.16E+01,,
915,2.16E+01,,
916,2.16E+01,,
917,2.16E+01,,
918,2.24E+01,,
919,2.24E+01,,
920,2.22E+01,,
921,2.22E+01,,
922,2.12E+01,,
923,2.12E+01,,
924,2.14E+01,,
925,2.14E+01,,
926,2.10E+01,,
927,2.10E+01,,
928,2.10E+01,,
929,2.10E+01,,
930,2.74E+01,,
931,2.74E+01,,
932,2.74E+01,,
933,2.74E+01,,
934,2.18E+01,,
935,2.18E+01,,
936,2.18E+01,,
937,2.18E+01,,
938,2.10E+01,,
939,2.10E+01,,
940,2.10E+01,,
941,2.10E+01,,
942,2.12E+01,,
943,2.12E+01,,
944,2.14E+01,,
945,2.14E+01,,
946,2.14E+01,,
947,2.14E+01,,
948,2.14E+01,,
949,2.14E+01,,
950,2.18E+01,,
951,2.18E+01,,
952,2.16E+01,,
953,2.16E+01,,
954,2.14E+01,,
955,2.14E+01,,
956,2.14E+01,,
957,2.14E+01,,
958,2.26E+01,,
959,2.26E+01,,
960,2.24E+01,,
961,2.24E+01,,
962,2.42E+01,,
963,2.42E+01,,
964,2.42E+01,,
965,2.42E+01,,
966,2.50E+01,,
967,2.50E+01,,
968,2.50E+01,,
969,2.50E+01,,
970,2.38E+01,,
971,2.38E+01,,
972,2.38E+01,,
973,2.38E+01,,
974,2.20E+01,,
975,2.20E+01,,
976,2.22E+01,,
977,2.22E+01,,
978,2.16E+01,,
979,2.16E+01,,
980,2.14E+01,,
981,2.14E+01,,
982,2.12E+01,,
983,2.12E+01,,
984,2.12E+01,,
985,2.12E+01,,
986,2.10E+01,,
987,2.10E+01,,
988,2.08E+01,,
989,2.08E+01,,
990,2.10E+01,,
991,2.10E+01,,
992,2.10E+01,,
993,2.10E+01,,
994,2.14E+01,,
995,2.14E+01,,
996,2.14E+01,,
997,2.14E+01,,
998,2.14E+01,,
999,2.14E+01,,
1000,2.14E+01,,
1001,2.14E+01,,
1002,2.16E+01,,
1003,2.16E+01,,
1004,2.16E+01,,
1005,2.16E+01,,
1006,2.16E+01,,
1007,2.16E+01,,
1008,2.14E+01,,
1009,2.14E+01,,
1010,2.12E+01,,
1011,2.12E+01,,
1012,2.12E+01,,
1013,2.12E+01,,
1014,2.14E+01,,
1015,2.14E+01,,
1016,2.16E+01,,
1017,2.16E+01,,
1018,2.14E+01,,
1019,2.14E+01,,
1020,2.12E+01,,
1021,2.12E+01,,
1022,2.14E+01,,
1023,2.14E+01,,
1024,2.14E+01,,
1025,2.14E+01,,
1026,2.20E+01,,
1027,2.20E+01,,
1028,2.20E+01,,
1029,2.20E+01,,
1030,2.24E+01,,
1031,2.24E+01,,
1032,2.24E+01,,
1033,2.24E+01,,
1034,2.14E+01,,
1035,2.14E+01,,
1036,2.12E+01,,
1037,2.12E+01,,
1038,2.08E+01,,
1039,2.08E+01,,
1040,2.08E+01,,
1041,2.08E+01,,
1042,2.78E+01,,
1043,2.78E+01,,
1044,2.78E+01,,
1045,2.78E+01,,
1046,2.12E+01,,
1047,2.12E+01,,
1048,2.12E+01,,
1049,2.12E+01,,
1050,2.06E+01,,
1051,2.06E+01,,
1052,2.08E+01,,
1053,2.08E+01,,
1054,2.08E+01,,
1055,2.08E+01,,
1056,2.08E+01,,
1057,2.08E+01,,
1058,2.10E+01,,
1059,2.10E+01,,
1060,2.10E+01,,
1061,2.10E+01,,
1062,2.12E+01,,
1063,2.12E+01,,
1064,2.12E+01,,
1065,2.12E+01,,
1066,2.18E+01,,
1067,2.18E+01,,
1068,2.16E+01,,
1069,2.16E+01,,
1070,2.26E+01,,
1071,2.26E+01,,
1072,2.26E+01,,
1073,2.26E+01,,
1074,2.42E+01,,
1075,2.42E+01,,
1076,2.42E+01,,
1077,2.42E+01,,
1078,2.44E+01,,
1079,2.44E+01,,
1080,2.44E+01,,
1081,2.44E+01,,
1082,2.22E+01,,
1083,2.22E+01,,
1084,2.22E+01,,
1085,2.22E+01,,
1086,2.14E+01,,
1087,2.14E+01,,
1088,2.14E+01,,
1089,2.14E+01,,
1090,2.12E+01,,
1091,2.12E+01,,
1092,2.10E+01,,
1093,2.10E+01,,
1094,2.12E+01,,
1095,2.12E+01,,
1096,2.10E+01,,
1097,2.10E+01,,
1098,2.10E+01,,
1099,2.10E+01,,
1100,2.10E+01,,
1101,2.10E+01,,
1102,2.14E+01,,
1103,2.14E+01,,
1104,2.14E+01,,
1105,2.14E+01,,
1106,2.14E+01,,
1107,2.14E+01,,
1108,2.14E+01,,
1109,2.14E+01,,
1110,2.10E+01,,
1111,2.10E+01,,
1112,2.12E+01,,
1113,2.12E+01,,
1114,2.12E+01,,
1115,2.12E+01,,
1116,2.12E+01,,
1117,2.12E+01,,
1118,2.10E+01,,
1119,2.10E+01,,
1120,2.10E+01,,
1121,2.10E+01,,
1122,2.10E+01,,
1123,2.10E+01,,
1124,2.10E+01,,
1125,2.10E+01,,
1126,2.08E+01,,
1127,2.08E+01,,
1128,2.10E+01,,
1129,2.10E+01,,
1130,2.08E+01,,
1131,2.08E+01,,
1132,2.08E+01,,
1133,2.08E+01,,
1134,2.12E+01,,
1135,2.12E+01,,
1136,2.10E+01,,
1137,2.10E+01,,
1138,2.12E+01,,
1139,2.12E+01,,
1140,2.12E+01,,
1141,2.12E+01,,
1142,2.16E+01,,
1143,2.16E+01,,
1144,2.16E+01,,
1145,2.16E+01,,
1146,2.20E+01,,
1147,2.20E+01,,
1148,2.20E+01,,
1149,2.20E+01,,
1150,2.06E+01,,
1151,2.06E+01,,
1152,2.06E+01,,
1153,2.06E+01,,
1154,2.04E+01,,
1155,2.04E+01,,
1156,2.04E+01,,
1157,2.04E+01,,
1158,2.78E+01,,
1159,2.78E+01,,
1160,2.78E+01,,
1161,2.78E+01,,
1162,2.10E+01,,
1163,2.10E+01,,
1164,2.10E+01,,
1165,2.10E+01,,
1166,2.06E+01,,
1167,2.06E+01,,
1168,2.06E+01,,
1169,2.06E+01,,
1170,2.08E+01,,
1171,2.08E+01,,
1172,2.08E+01,,
1173,2.08E+01,,
1174,2.08E+01,,
1175,2.08E+01,,
1176,2.06E+01,,
1177,2.06E+01,,
1178,2.08E+01,,
1179,2.08E+01,,
1180,2.08E+01,,
1181,2.08E+01,,
1182,2.12E+01,,
1183,2.12E+01,,
1184,2.12E+01,,
1185,2.12E+01,,
1186,2.22E+01,,
1187,2.22E+01,,
1188,2.24E+01,,
1189,2.24E+01,,
1190,2.40E+01,,
1191,2.40E+01,,
1192,2.40E+01,,
1193,2.40E+01,,
1194,2.40E+01,,
1195,2.40E+01,,
1196,2.40E+01,,
1197,2.40E+01,,
1198,2.16E+01,,
1199,2.16E+01,,
1199,2.16E+01,,
